,,,,,,,,
RESUMEN DE CAMBIOS,CIUDAD,ACTUAL,,,,,,
,SAN MARTIN - TARAPOTO,72H,,,,,,
,UCAYALI - PUCALLPA,48H,,,,,,
,LORETO - IQUITOS,48H,,,,,,
,HUANCAYO,48H,,,,,,
,,,,,,,,
CIUDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,TIEMPO DE ENTREGA,TARIFA,TIEMPO SUR,TARIFA SUR,TARIFA ÉLITE
A001 - HUARAZ,Ancash,Huaraz,Huaraz,24h,17.5,-,-,
,Ancash,Huaraz,Independencia,24h,17.5,-,-,
,Ancash,Carhuaz,Carhuaz,24h (solo lunes-viernes entrega),22.5,-,-,
,Ancash,Huaylas,Caraz,24h (solo lunes-viernes entrega),22.5,-,-,
,Ancash,Huaylas,Huaylas,24h (solo lunes-viernes entrega),22.5,-,-,
,Ancash,Yungay,Yungay,24h,22.5,-,-,
A002 - SANTA,Ancash,Santa,Chimbote,24h,17.5,-,-,
,Ancash,Santa,Coishco,24h,22.5,-,-,
,Ancash,Santa,Nuevo Chimbote,24h,22.5,-,-,
A003 - ABANCAY,Apurimac,Abancay,Abancay,72h,17.5,24h,15.5,
A004 - AREQUIPA,Arequipa,Arequipa,Arequipa,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Alto Selva Alegre,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Cayma,48h,15.5 - 20.5,24h,15.5 - 20.5,15.5 - 18.5
,Arequipa,Arequipa,Cerro Colorado,48h,15.5 - 20.5,24h,15.5 - 20.5,15.5 - 18.5
,Arequipa,Arequipa,Characato,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Jacobo Hunter,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Mariano Melgar,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Miraflores,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Paucarpata,48h,15.5 - 20.5,24h,15.5 - 20.5,15.5 - 18.5
,Arequipa,Arequipa,Sabandia,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Sachaca,48h,15.5 - 20.5,24h,15.5 - 20.5,15.5 - 18.5
,Arequipa,Arequipa,Socabaya,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Tiabaya,48h,15.5 - 20.5,24h,15.5 - 20.5,15.5 - 18.5
,Arequipa,Arequipa,Yanahuara,48h,15.5,24h,15.5,
,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,48h,15.5,24h,15.5,
A005 - HUAMANGA,Ayacucho,Huamanga,Ayacucho,48h,16.5,-,-,
,Ayacucho,Huamanga,San Juan Bautista,48h,16.5,-,-,
,Ayacucho,Huamanga,Jesús Nazareno,48h,16.5,-,-,
A006 - CAJAMARCA,Cajamarca,Cajamarca,Cajamarca,48h,17.5,-,-,
,Cajamarca,Cajamarca,Los Baños del Inca,48h,17.5 - 22.5,-,-,17.5 - 20.5
A007 - CUSCO,Cusco,Cusco,Cusco,72h,17.5,mismo dia antes 10am,14.5,
,Cusco,Cusco,Poroy,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Cusco,San Jeronimo,72h,17.5 - 22.5,mismo dia antes 10am,14.5 - 19.5,17.5 - 20.5
,Cusco,Cusco,San Sebastian,72h,17.5 - 22.4,mismo dia antes 10am,14.5 - 19.5,17.5 - 20.5
,Cusco,Cusco,San Sebastian - Corao,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Cusco,Santiago,72h,17.5 - 22.5,mismo dia antes 10am,14.5 - 19.7,17.5 - 20.7
,Cusco,Cusco,Saylla,72h,22.5,mismo dia antes 10am,19.5,20.5
,Cusco,Cusco,Wanchaq,72h,17.5,mismo dia antes 10am,14.5,
,Cusco,Anta,Anta,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Anta,Cachimayo,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Calca,Calca,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Calca,Pisac,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Quispicanchis,Urcos,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Quispicanchis,Andahuaylillas-Huacarpay-Piñipampa,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Quispicanchis,Huaro,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Quispicanchis,Lucre,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Quispicanchis,Oropesa - Tipón,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Urubamba,Urubamba,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
,Cusco,Urubamba,Maras - Moray,72h (entrega 1 vez por semana),21.5,1 vez por semana,19.5,
A008 - HUANUCO,Huanuco,Huanuco,Huanuco,24h,16.5,-,-,
,Huanuco,Huanuco,Amarilis,24h,16.5,-,-,
,Huanuco,Huanuco,Pillcomarca,24h,21.5,-,-,19.5
A027 - CHINCHA,Ica,Chincha,Chincha,24h,16.5,,,
A009 - ICA,Ica,Ica,Ica,24h,16.5,-,-,
,Ica,Ica,La Tinguiña,24h,16.5,-,-,
,Ica,Ica,Los Aquijes,24h,21.5,-,-,19.5
,Ica,Ica,Parcona,24h,16.5,-,-,
,Ica,Ica,Pueblo Nuevo,24h,21.5,-,-,19.5
,Ica,Ica,San Juan Bautista,24h,21.5,-,-,19.5
,Ica,Ica,Subtanjalla,24h,21.5,-,-,19.5
A026 - PISCO - PISCO,Ica,Pisco,Pisco,24h,,,,
A010 - HUANCAYO,Junin,Huancayo,Huancayo,48h,16.5,-,-,
,Junin,Huancayo,Chilca,48h,16.5,-,-,
,Junin,Huancayo,El Tambo,48h,16.5,-,-,
,Junin,Huancayo,Hualhuas,48h,21.5,-,-,19.5
,Junin,Huancayo,Huancan,48h,21.5,-,-,19.5
,Junin,Huancayo,Huayucachi,48h,21.5,-,-,19.5
,Junin,Huancayo,Pariahuanca,48h,16.5,-,-,
,Junin,Huancayo,Pilcomayo,48h,21.5,-,-,19.5
,Junin,Huancayo,Pucara,48h,21.5 - 24.5,-,-,19.5 - 22.5
,Junin,Huancayo,Quilcas,48h,21.5 - 24.5,-,-,19.5 - 22.6
,Junin,Huancayo,San Agustin,48h,21.5,-,-,19.5
,Junin,Huancayo,San Jeronimo de Tunan,48h,21.5,-,-,19.5
,Junin,Huancayo,Sapallanga,48h,21.5,-,-,19.5
,Junin,Huancayo,Sicaya,48h,21.5,-,-,19.5
,Junin,Huancayo,Viques,48h,21.5 - 24.5,-,-,19.5 - 22.6
,Junin,Chupaca,Chupaca,48h,21.5,-,-,19.5
,Junin,Chupaca,Chongos Bajo,48h,21.5,-,-,19.5
,Junin,Chupaca,Huamancaca Chico,48h,21.5,-,-,19.5
,Junin,Chupaca,Tres de Diciembre,48h,21.5,-,-,19.5
A011 - TRUJILLO,La Libertad,Trujillo,Trujillo,48h,15.5,-,-,
,La Libertad,Trujillo,El Porvenir,48h,15.5 - 20.5,-,-,15.5 - 18.5
