ter_id,nombre,lugar_over,direccion,provincia,departamento,telefono,latitud,longitud
2,CAJAMARCA / HUALGAYOC / BAMBAMARCA / BAMBAMARCA,BAMBAMARCA,"AV. TUPAC AMARU 1105, REFERENCIA: AL COSTADO DEL PARADERO AL CUMBE",HUALGAYOC,CAJAMARCA,(01) 500 7878,-6.677.954,-78.525.601
3,AMAZONAS / CHACHAPOYAS / CHACHAPOYAS / CHACHAPOYAS CO DOS DE MAYO,CHACHAPOYAS CO DOS DE MAYO,"JR. DOS DE MAYO CDRA. 15 S/N CHACHAPOYAS, REFERENCIA: JUNTO A TERMINAL DE COMBIS ETSA",CHACHAPOYAS,AMAZONAS,(01) 500 7878,-6.238.673.290.149.490,-7.786.800.826.533.630
4,LIMA / LIMA / LA VICTORIA / AV MEXICO CO,AV MEXICO CO,"AV. MEXICO 1125, LA VICTORIA - LIMA",LIMA,LIMA,(01) 500 7878,-12.073.430.785.867,-7.701.758.370.586
6,LIMA / LIMA / LOS OLIVOS / AV. LAS PALMERAS,AV. LAS PALMERAS,AV. LAS PALMERAS N° 5236 URB. VILLA NORTE - LOS OLIVOS ,LIMA,LIMA,01 5007878,-11.975.852.939.682.600,-7.707.207.437.848.110
7,AREQUIPA / AREQUIPA / AREQUIPA / AV PARRA 379 CO,AV PARRA 379 CO,AV. PARRA 379 - Arequipa,AREQUIPA,AREQUIPA,01 5007878,-16.414.719.927.538,-71.547.783.910.033
8,ICA / ICA / ICA / ICA SAN JOAQUIN,ICA SAN JOAQUIN,Pasaje Grau N° 101 San Joaquin - ICA  REFERENCIA : A 1 cdra de Petro Peru,ICA,ICA,01 5007878,-140.643.326,-757.409.599
9,APURIMAC / ANDAHUAYLAS / ANDAHUAYLAS / ANDAHUAYLAS,ANDAHUAYLAS,"AV. MALINAS 1355 POCHCCOTA, ANDAHUAYLAS - ANDAHUAYLAS -  APURÍMAC, REF. AL COSTADO DE LA EX CANCHA EL CENTENARIO O ALTURA DE LA UNIVERSIDAD UNSAAC",ANDAHUAYLAS,APURIMAC,01 5007878,-13.660.854.303.166,-73.375.429.023.314
10,PIURA / PIURA / 26 DE OCTUBRE / CALLE EMAÚS,CALLE EMAÚS,"CALLE TRES N° 102, SUBLOTE N° 1D MZ. Y - ZONA INDUSTRIAL II, DISTRITO 26 DE OCTUBRE - REFERENCIA: AL COSTADO DE SENATI",PIURA,PIURA,01 5007878,-51.799.717.074.005,-80.652.250.843.267
11,PASCO / PASCO / CHAUPIMARCA / CERRO DE PASCO,CERRO DE PASCO,"JR. HUARICAPCHA S/N A.H. TUPAC AMARU CHAUPIMARCA, REFERENCIA: FRENTE AL NUEVO TERMINAL",PASCO,PASCO,(01) 500 7878,-10.686.749,-76.246.862
12,CAJAMARCA / CAJAMARCA / CAJAMARCA / CAJAMARCA CO,CAJAMARCA CO,Av. Independencia N° 787 Barrio Santa Elena,CAJAMARCA,CAJAMARCA,01 5007878,-71.712.133,-785.120.151
13,JUNIN / JAUJA / JAUJA / JAUJA,JAUJA,"Jr. ESTANISLAO MARQUEZ 286, YAUYOS - JAUJA - JUNÍN, REF. ESQUINA CON JR. 4 DE ENERO",JAUJA,JUNIN,(01) 500 7878,-11.785.629.433.895,-75.493.856.236.131
14,SAN MARTIN / MOYOBAMBA / MOYOBAMBA / OVALO ORQUIDEAS CO,OVALO ORQUIDEAS CO,JR. 20 de abril  2138 -  REFERENCIA : Altura de la  pampa del  hambre,MOYOBAMBA,SAN MARTIN,01 500 7878,-60.465.912,-769.725.996
15,APURIMAC / ABANCAY / ABANCAY / ABANCAY,ABANCAY,"AV. PANAMERICANA S/N - ABANCAY - APURÍMAC, REF. A 100 METROS DE LA COMISARÍA DE BELLAVISTA, AL COSTADO DE MADERERA VEGA",ABANCAY,APURIMAC,(01) 500 7878,-13.638.156.277.625,-72.898.993.460.113
16,LIMA / BARRANCA / BARRANCA / BARRANCA,BARRANCA,"JR. ANDRES REYES BUITRON 416. BARRANCA - BARRANCA – LIMA, REF. A 2 CDRS. DEL PARQUE EL OLVIVAR / A MTRS. DE LA CASA DEL MAESTRO",BARRANCA,LIMA,(01) 500 7878,-10.752.972.858.777.600,-7.775.544.507.054.770
17,ANCASH / SANTA / CHIMBOTE / AV ENRIQUE MEIGGS,AV ENRIQUE MEIGGS,Av. Enrique Meiggs N° 2457.,SANTA,ANCASH,01 5007878,-90.939.502.716.064,-78.568.466.186.523
18,CUSCO / CUSCO / WANCHAQ / CUSCO PARQUE INDUSTRIAL,CUSCO PARQUE INDUSTRIAL,"AV. LAS AMERICAS MZ. E LT. 20, 2DA ETAPA, URB. PARQUE INDUSTRIAL, WANCHAQ - CUSCO, REF. AL FRENTE DE TALLERES PFURO, AL FRENTE DE MEDERERA URPI, PARALELA A LA AV VIA EXPRESA.",CUSCO,CUSCO,15007878,-13.532.971.798.458,-71.944.027.560.633
19,LIMA / HUAURA / HUACHO / SALAVERRY HUACHO CO,SALAVERRY HUACHO CO,PROLONGACIÓN salaverry  n° 764  huacho -  referencia : cruce con la av la paz  ,HUAURA,LIMA,(01) 500 7878,-111.094.203,-775.991.073
20,MOQUEGUA / ILO / ILO / ILO CO PAMPA INALAMBRICA,ILO CO PAMPA INALAMBRICA,"URB. CIUDAD DEL PESCADOR, MZ. J LT. 18-19, REFERENCIA: A DOS CUADRAS DEL PODER JUDICIAL",ILO,MOQUEGUA,(01) 500 7878,-17.646.726.685.783,-71.332.508.637.667
21,AYACUCHO / HUAMANGA / AYACUCHO / AYACUCHO CO,AYACUCHO CO,AA.HH  COMPLEJO ARTESANAL T1 LT1 - ayacucho  -  rEFERENCIA :  a una cuadra de la puerta 2 del terminal terrestre libertadores de AMÉRICA,HUAMANGA,AYACUCHO,01 5007878,-131.349.252,-742.326.602
22,LIMA / CAÑETE / SAN VICENTE DE CANET / CAÑETE SAN VICENTE,CAÑETE SAN VICENTE,"AA.HH. VÍCTOR ANDRÉS BELAUNDE MZ. B LT. 12, SAN VICENTE DE CAÑETE - CAÑETE - LIMA",CAÑETE,LIMA,01 5007878,-13.076.518.251.018.400,-7.639.128.869.885.430
23,ICA / CHINCHA / CHINCHA ALTA / PROLONG LUIS MASSARO,PROLONG LUIS MASSARO,PROLONGACION LUIS MASSARO  N°247 -  CHINCHA ALTA,CHINCHA,ICA,01 5007878,-13.417.292,-76.139.622
24,JUNIN / HUANCAYO / EL TAMBO / AV MARISCAL CASTILLA CO PARQUE INDUSTRIAL,AV MARISCAL CASTILLA CO PARQUE INDUSTRIAL,AV MARISCAL CASTILLA 2769  RefERENCIA : Frente al colegio Andres bello,HUANCAYO,JUNIN,(01) 500 - 7878,-120.428.748,-752.267.209
25,LAMBAYEQUE / CHICLAYO / LA VICTORIA / AV VICTOR R. HAYA CO,AV VICTOR R. HAYA CO,av. VÍCTOR RAUL HAYA DE LA TORRE 2470 La Victoria - Chiclayo  REFERENCIA : ENTRE LA VIA EVITAMIENTO Y PANAMERICANA,CHICLAYO,LAMBAYEQUE,01 5007878,-68.003.757,-79.830.527
26,JUNIN / CONCEPCION / CONCEPCION / CONCEPCION,CONCEPCION,"CARRETERA CENTRAL LT. 7 - MZ. E5, CONCEPCIÓN - CONCEPCIÓN - JUNÍN, REF. ESQUINA CON TUPAC AMARU",CONCEPCION,JUNIN,01 5007878,-11.918.185.909.992,-75.322.057.252.364
27,HUANUCO / HUANUCO / HUANUCO / JR AGUILAR,JR AGUILAR,Jr. Aguilar N° 872 -  Huánuco,HUANUCO,HUANUCO,(01) 500 7878,-9.933.953,-76.240.018
28,CAJAMARCA / JAEN / JAEN / JAEN,JAEN,AV. PAKAMMUROS CUADRA 6 S/N - referencia: ESQUINA CON CALLE LIBERTAD N° 490,JAEN,CAJAMARCA,(01) 500 7878,-57.098.471.730.858,-7.880.305.781.963
29,PUNO / SAN ROMAN / JULIACA / JR. MAMA OCLLO,JR. MAMA OCLLO,Jr. Mama Ocllo 915 - B ( Cruce con Jr Azángaro ),SAN ROMAN,PUNO,01 5007878,-15.490.571,-70.119.498
32,SAN MARTIN / RIOJA / NUEVA CAJAMARCA / NUEVA CAJAMARCA,NUEVA CAJAMARCA,"AV. CAJAMARCA NORTE MZ. 51 LT. 15, REFERENCIA: AL COSTADO DE ESSALUD",RIOJA,SAN MARTIN,15007878,-592.927.759.481,-773.132.981.226
33,PUNO / PUNO / PUNO / AV COSTANERA,AV COSTANERA,AV. COSTANERA N° 211 CON JR. LOS INCAS - PUNO,PUNO,PUNO,(01) 500 7878,-15.834.283.484.814,-70.018.396.968.946
34,CUSCO / CANCHIS / SICUANI / SICUANI CO OVALO SAN ANDRES,SICUANI CO OVALO SAN ANDRES,"PROLONG. AV. AREQUIPA 1010  S/N, REF: AL COSTADO DEL GRIFO GUADALUPE EN EL ÓVALO SAN ANDRÉS",CANCHIS,CUSCO,15007878,-14.285.420.707.913,-71.225.136.970.083
35,PIURA / SULLANA / SULLANA / SULLANA SANTA ROSA,SULLANA SANTA ROSA,Carretera Panamericana Norte Nº 790 SULLANA   REFERENCIA : FRENTE AL COLEGIO CHIQUITITOS,SULLANA,PIURA,01 5007878,-4.908.899,-80.697.109
36,TACNA / TACNA / TACNA / TACNA CO AV. JORGE BASADRE,TACNA CO AV. JORGE BASADRE,Av. Jorge Basadre Grohmann Oeste n° 366 - tACNA,TACNA,TACNA,01 5007878,-18.014.034.875.512,-70.259.915.218.194
37,PIURA / TALARA / PARINAS / TALARA  CO ASOC CALIFORNIA,TALARA  CO ASOC CALIFORNIA,"ASOCIACIÓN CALIFORNIA C - 03 FRENTE A CARRETERA NEGRITOS, TALARA - PARIÑAS, REFERENCIA: AL COSTADO DEL RESTAURANTE MI TORETE",TALARA,PIURA,01 5007878,-45.895.156.321.892,-8.127.349.917.493
38,SAN MARTIN / SAN MARTIN / TARAPOTO / TARAPOTO CO JR ALFONSO UGARTE,TARAPOTO CO JR ALFONSO UGARTE,"JR. ALFONSO UGARTE N°2283 - TARAPOTO - SAN MARTIN - SAN MARTIN, REF. FRENTE A LA CANCHA SINTÉTICO EL GOLAZO",SAN MARTIN,SAN MARTIN,(01) 500 7878,-64.952.242.568.055,-76.383.499.958.709
39,LA LIBERTAD / TRUJILLO / TRUJILLO / CALLE LIVERPOOL,CALLE LIVERPOOL,Calle LiverpoOl N° 329 / Urb. Santa Isabel - Trujillo.  referencia : a una cuadra antes de la Iglesia de Mansiche,TRUJILLO,LA LIBERTAD,(01) 500 - 7878,-8.103.728,-79.042.822
40,TUMBES / TUMBES / TUMBES / TUMBES - AV ARICA,TUMBES - AV ARICA,Av. Arica N° 227 - Tumbes.,TUMBES,TUMBES,01 5007878,-35.654.275,-804.590.402
41,MOQUEGUA / MARISCAL NIETO / MOQUEGUA / SAN ANTONIO,SAN ANTONIO,Av. Santa Fortunata Mz. N5 Lt. 10 Asoc. Villa Moquegua San Antonio. referencia : A una cuadra de la Casa de la Mujer,MARISCAL NIETO,MOQUEGUA,01 5007878,-172.102.839,-709.480.949
43,LIMA / LIMA / LA VICTORIA / JR. RAYMONDI,JR. RAYMONDI,JR. ANTONIO RAYMONDI NRO. 113,LIMA,LIMA,15007878,-12.061.097.830.007.300,-770.344.310.742.025
44,LIMA / LIMA / SAN JUAN DE LURIGANCHO / AV SANTA ROSA URB LOS ALAMOS,AV SANTA ROSA URB LOS ALAMOS,Av. Santa Rosa MZ. D1 lote 1 Urb. Los Alamos 2da Etapa  - referencia altura de la cuadra 13 del paradero canto grande,LIMA,LIMA,(01) 500 7878,-11.965.189.930.601,-76.997.693.918.962
45,LIMA / LIMA / VILLA MARIA DEL TRIUNFO / LAS CONCHITAS,LAS CONCHITAS,"AV. PACHACUTEC 6779, MZ. N, LT. 20, VILLA MARIA DEL TRIUNFO - REFERENCIA: A UNA CDRA. DEL GRIFO REPSOL LAS CONCHITAS",LIMA,LIMA,(01) 500 7878,-12.208.631,-769.259.818
48,AMAZONAS / UTCUBAMBA / BAGUA GRANDE / BAGUA GRANDE,BAGUA GRANDE,"AV. CHACHAPOYAS 1094 SECTOR GONCHILLO, REF. A 2 CUADRAS DE LA CLÍNICA SEÑOR DE LOS MILAGROS",UTCUBAMBA,AMAZONAS,(01) 500 7878,-57.502.771.328.253,-78.449.191.047.248
49,AMAZONAS / BONGARA / JAZAN / PEDRO RUIZ,PEDRO RUIZ,"AV. SACSAHUAMAN N° 513 - PEDRO RUIZ, REF. A MEDIA CUADRA DE LA UGEL",BONGARA,AMAZONAS,(01) 500 7878,-59.481.590.587.064,-77.979.191.086.497
50,CAJAMARCA / CHOTA / CHOTA / CHOTA,CHOTA,AV. FRAY JOSÉ ARANA N 805 - REFERENCIA : frente al terminal angel divino,CHOTA,CAJAMARCA,(01) 500 7878,-6.562.775,-78.653.349
52,LORETO / MAYNAS / IQUITOS / IQUITOS JR FRANCISCO BOLOGNESI,IQUITOS JR FRANCISCO BOLOGNESI,Jr. Francisco Bolognesi Nro 203 - 215  IQUITOS.  REFERENCIA : esquina con Putumayo,MAYNAS,LORETO,(01) 500 7878,-37.468.824,-732.484.034
